Date,Open,High,Low,Close,Adj Close,Volume
7/19/2018,48.400002,48.720001,48.209999,48.439999,44.61364,16656500
7/20/2018,48.490002,48.709999,48.360001,48.52,44.687317,17232900
7/23/2018,48.619999,48.669998,48.049999,48.669998,44.825474,17990200
7/24/2018,48.75,49.099998,48.560001,48.669998,44.825474,19885500
7/25/2018,48.52,48.970001,48.5,48.950001,45.083355,16354900
7/26/2018,48.849998,49.169998,48.759998,48.869999,45.009663,15229900
7/27/2018,48.990002,49.119999,48.380001,48.630001,44.788628,14856100
7/30/2018,48.580002,48.580002,47.459999,47.73,43.959724,20167300
7/31/2018,47.900002,48.080002,47.389999,47.68,43.91367,18808100
8/1/2018,47.91,48.220001,47.150002,47.349998,43.609737,22933600
8/2/2018,47.040001,48.07,46.630001,47.900002,44.116299,14227400
8/3/2018,47.919998,48.48,47.900002,48.470001,44.641266,14295800
8/6/2018,48.290001,48.759998,48.220001,48.669998,44.825474,13529300
8/7/2018,48.939999,48.950001,48.470001,48.48,44.650471,11608000
8/8/2018,48.419998,48.619999,48.259998,48.389999,44.567585,10849400
8/9/2018,48.27,48.709999,48.27,48.540001,44.705738,14708000
8/10/2018,48.369999,48.720001,48.23,48.32,44.503105,10502200
8/13/2018,48.34,48.59,47.970001,48.009998,44.217602,12152100
8/14/2018,48.119999,48.349998,47.939999,48.23,44.420212,11513700
8/15/2018,48.099998,48.259998,47.529999,47.84,44.061035,14091000
8/16/2018,48.139999,48.450001,48.040001,48.099998,44.300488,11874300
8/17/2018,48.209999,48.5,47.990002,48.360001,44.539951,11412000
8/20/2018,48.400002,48.599998,48.259998,48.419998,44.595219,11936700
8/21/2018,48.580002,48.639999,48.369999,48.41,44.586006,10187600
8/22/2018,48.34,48.91,48.240002,48.799999,44.945202,11639400
8/23/2018,48.799999,49.34,48.68,48.959999,45.092564,11026700
8/24/2018,49,49.389999,48.970001,49.259998,45.368862,14011700
8/27/2018,49.41,49.700001,49.290001,49.330002,45.433338,12253300
8/28/2018,49.389999,49.43,48.599998,48.639999,44.797832,15475700
8/29/2018,48.639999,49.099998,48.639999,48.889999,45.028084,17307700
8/30/2018,48.889999,48.889999,48.310001,48.380001,44.558376,15154900
8/31/2018,48.380001,48.630001,48.349998,48.580002,44.742577,17844100
9/4/2018,48.360001,48.830002,48.16,48.580002,44.742577,17289000
9/5/2018,48.41,48.490002,47.790001,48.040001,44.245228,16437700
9/6/2018,47.950001,48.220001,47.52,47.709999,43.941299,18456100
9/7/2018,47.459999,47.990002,47.330002,47.810001,44.033401,20513900
9/10/2018,48,49.049999,48,48.860001,45.000458,20390600
9/11/2018,48.52,49.049999,48.52,48.919998,45.055721,14877200
9/12/2018,48.75,49.470001,48.619999,49.34,45.442547,17058700
9/13/2018,49.279999,49.75,48.880001,48.959999,45.092564,22124400
9/14/2018,48.939999,49.450001,48.939999,49.25,45.359642,20066100
9/17/2018,49.310001,49.939999,49.110001,49.18,45.295181,29225000
9/18/2018,47.509998,49.540001,47.360001,49.029999,45.157024,33451100
9/19/2018,48.919998,49.540001,48.66,49.43,45.525436,20904800
9/20/2018,49.66,51.080002,49.560001,50.43,46.446438,26973500
9/21/2018,50.830002,51.119999,50.349998,51.099998,47.063511,50751900
